언론사,언론사url,언론사로고url,날짜,기사명,섹션,본문,본문url,회사명,회사종류,좋아요,추천반응수,댓글 수,첫번째이미지url,요약문,키워드1,키워드2,키워드3,키워드4
디지털데일리,http://ddaily.co.kr/,https://mimgnews.pstatic.net/image/upload/office_logo/138/2017/12/27/logo_138_38_20171227163427.png,7:42 AM 2022/03/16,"유가하락‧FOMC 긍정적, 미 증시 급등…“애플, 中 생산중단 큰 영향없을 것”",IT, 디지털데일리 박기록 논설실장 15일 현지시간 미국 증시는 국제 유가의 하락세와 미 연준 FRB 의 완화적 ,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=105&oid=138&aid=0002120736,마이크론,IDM,4,132,0,https://imgnews.pstatic.net/image/138/2022/03/16/0002120736_001_20220316082303564.jpg?type=w647,"[' 디지털데일리 박기록 논설실장 15일 현지시간 미국 증시는 국제 유가의 하락세와 미 연준 FRB 의 완화적 금리인상 러 우크라이나 전쟁 종식에 대한 기대감 등 긍정적인 요소들이 긍정적으로 어우러지면서 3대 주요 지수 모두 일제히 급등했다.', '전기차 가격을 지난 일주일새 두 차례나 인상하는 등 부품값 폭등에 따른 인플레이션 압력에 노출된 테슬라가 나스닥 시장의 훈풍에 따라 4.63 오른 801.89달러로 마감해 다소 800달러대로 복귀했다.', '국제 유가의 진정은 공급측면에서의 인플레이션 우려를 크게 완화시켰으며 이는 15 16일 진행되는 미 연준의 3월 연방공개시장위원회 FOMC 정례회의후 급격한 금리 인상 가능성을 낮추는 기대감으로 작용했다.']",국제,달러,유가,인상
뉴시스,http://www.newsis.com/,https://mimgnews.pstatic.net/image/upload/office_logo/003/2018/01/24/logo_003_38_20180124113224.png,5:51 PM 2022/03/16,"中 코로나 봉쇄책, 글로벌 공급망 대란 가중",세계,기사내용 요약 엄격한 폐쇄 정책에 제조업 공장 교통망에 타격 서울 AP 뉴시스 중국 상하이에서 코로나19 검,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=104&oid=003&aid=0011066346,마이크론,IDM,0,1327,0,https://imgnews.pstatic.net/image/003/2022/03/16/NISI20220311_0018582904_web_20220311184442_20220316183305861.jpg?type=w647,"['뉴욕타임스 NYT 는 15일 현지시간 중국 내 오미크론 변이 바이러스 감염이 급증하면서 중국 당국이 주민들의 이동을 제한하고 공장들을 폐쇄하고 트럭 통행을 중단해 이미 손상된 공급망이 위협받고 있다고 보도했다.', '기사내용 요약 엄격한 폐쇄 정책에 제조업 공장 교통망에 타격 서울 AP 뉴시스 중국 상하이에서 코로나19 검사 중인 사람들.', '2022.03.16. photo 서울 뉴시스 임종명 기자 중국의 코로나19 봉쇄책이 글로벌 공급망 대란을 더욱 심화시키고 있다는 분석이 나오고 있다.']",중국,공급,공장,생산
서울경제,http://www.sedaily.com/,https://mimgnews.pstatic.net/image/upload/office_logo/011/2017/12/27/logo_011_38_20171227161527.png,11:11 AM 2022/03/16,"[주식초고수는 지금] 尹 ""신한울 3, 4호기 건설재개""에 두산중공업 매수 1위",경제, 미래에셋증권 엠클럽 집계 해운 운임 상승 기대감 HMM 관심 여전 해외여행 기대감 인터파크 매수세 몰려 서,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=011&aid=0004030221,하이닉스,IDM,15,520,7,https://imgnews.pstatic.net/image/011/2022/03/16/0004030221_001_20220316111101926.jpg?type=w647,"[' 미래에셋증권 엠클럽 집계 해운 운임 상승 기대감 HMM 관심 여전 해외여행 기대감 인터파크 매수세 몰려 서울경제 미래에셋증권에서 거래하는 고수익 투자자들이 16일 오전 가장 많이 사들인 종목은 두산중공업 034020 으로 집계됐다.', '이날 미래에셋엠클럽에 따르면 미래에셋증권 주식 거래 고객 중 최근 1개월 간 투자 수익률 상위 1 에 해당하는 주식 초고수 들이 오전 11시까지 가장 많이 사들인 종목은 두산중공업으로 조사됐다.', '미래에셋증권은 자사 고객 중에서 지난 1개월간 수익률 상위 1 투자자들의 매매 종목을 집계해 실시간 전일 최근 5일 기준으로 모바일트레이딩시스템 MTS 상에서 공개하고 있다.']",미래,증권,산중,공업
중앙일보,https://www.joongang.co.kr/,https://mimgnews.pstatic.net/image/upload/office_logo/025/2021/08/20/logo_025_38_20210820165725.png,5:27 PM 2022/03/16,반도체 또다시 ‘쩐의 전쟁‘…인텔 “유럽 전역에 110조 투자”,경제,인텔 로고. 연합뉴스 인텔이 유럽에 향후 10년간 800억 유로 약 110조원 를 투자한다. 지난해 미국 4,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=025&aid=0003180637,TSMC,Foundry,2,51,1,https://imgnews.pstatic.net/image/025/2022/03/16/0003180637_001_20220316172801130.jpg?type=w647,"['로이터 연합뉴스 글로벌 반도체 쩐의 전쟁 격화 인텔이 유럽 선점 과 반도체 생산 분산 에 초점을 맞춘 초대형 투자 계획을 내놓으면서 경쟁사들의 움직임에도 속도가 붙을 것으로 보인다.', '이에 대해 갤싱어 CEO는 이번 투자 계획은 인텔과 유럽 모두에게 중요한 단계이며 EU 반도체 법안 EU Chips Act 이 민간 기업과 정부가 협력해 반도체 분야에서 유럽의 입지를 획기적으로 개선할 수 있도록 지원할 것 이라고 밝혔다.', '앞서 EU는 약 430억 유로 약 59조원 의 공공 민간 투자를 통해 현재 9 수준이 EU 회원국의 글로벌 반도체 생산 점유율을 20 까지 끌어올리는 계획을 발표한 바 있다.']",투자,유럽,계획,유로
한겨레,http://www.hani.co.kr/,https://mimgnews.pstatic.net/image/upload/office_logo/028/2017/12/27/logo_028_38_20171227162327.png,3:03 PM 2022/03/16,[유레카] 러시아를 꿇린 31살 우크라 장관의 사이버 전투 / 구본권,오피니언,땅 바다 하늘에 이어 사이버 공간을 제4의 영토로 선언하고 사이버군대를 창설한 국가가 여럿이다. 미국은 20,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=110&oid=028&aid=0002583055,인텔,IDM,140,273,32,https://imgnews.pstatic.net/image/028/2022/03/16/0002583055_001_20220317023317343.jpg?type=w647,"['2019년 젤렌스키 정부 출범 때 28살 장관이 된 페도로우는 디지털마케팅 기업가 출신이다.', '러시아는 2016년 미국 대선 때 조직적으로 허위정보를 퍼뜨려 체제 불안을 유도했으며 푸틴 대통령은 케이지비 KGB 출신의 정보전 전문가다.', '디지털은 세대별로 서비스 경험과 이해 수준이 다른 영역이다.']",러시아,장관,도로,정보
데일리안,http://www.dailian.co.kr/,https://mimgnews.pstatic.net/image/upload/office_logo/119/2017/12/27/logo_119_38_20171227163327.png,1:30 PM 2022/03/16,"삼성전자 주총, GOS·수율 논란에도 이변 없이 마무리(종합)",경제,온라인 전자투표에도 다수 주주 현장 찾아 경계현 노태문 박학규 사내이사 무난히 통과 일부 주주 반대 의견에도,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=119&aid=0002585597,퀄컴,Fabless,1,1440,3,https://imgnews.pstatic.net/image/119/2022/03/16/0002585597_001_20220316133001433.jpeg?type=w647,"['온라인 전자투표에도 다수 주주 현장 찾아 경계현 노태문 박학규 사내이사 무난히 통과 일부 주주 반대 의견에도 높은 찬성률 기록 16일 제 53기 삼성전자 주주총회가 열린 수원컨벤션센터에서 주주들이 주총장에 입장해 대기하고 있다.', '경계현 삼성전자 디바이스솔루션 DS 부문장 사장 이 16일 경기도 수원시 수원컨벤션센터에서 개최된 제 53기 정기 주주총회 에서 경영현황에 대해 설명하고 주주들의 질문에 답변하고 있다.', '한종희 삼성전자 대표이사 부회장 DX부문장 이 16일 경기도 수원시 수원컨벤션센터에서 개최된 제 53기 정기 주주총회 에서 경영현황에 대해 설명하고 주주들의 질문에 답변하고 있다.']",주주,질문,컨벤션,센터
머니투데이,http://www.mt.co.kr/,https://mimgnews.pstatic.net/image/upload/office_logo/008/2020/03/02/logo_008_38_20200302160202.png,4:44 PM 2022/03/16,SK하이닉스·삼성전자 '꿈틀'…반도체株 '겨울'은 대체 언제 끝?,경제, 겨울은 언제 끝날까. 국내 반도체 대장주들의 봄 이 언제 올지 관심사다. 국내 반도체 대장주인 SK하이닉스,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=008&aid=0004720684,하이닉스,IDM,1,792,4,https://imgnews.pstatic.net/image/008/2022/03/16/0004720684_001_20220317041807559.jpg?type=w647,"['김양재 KTB투자증권 연구원은 지난 한 달 메모리 업계 주가는 러시아 우크라이나 전쟁과 코로나19 COVID 19 확산 우려를 반영하며 25 급락했다 면서도 대회 불확실성은 여전하고 변수도 많지만 우호적인 이슈도 지나치게 저평가된 것 이라 했다.', '사진제공 뉴스1 국내 반도체 주는 지난해 8월 미국 투자은행 IB 모건스탠리가 메모리 겨울이 오고 있다 Memory Winter is coming 보고서를 발표한 이후 주가가 급락했다.', 'SK하이닉스 삼성전자 반도체주 상승에 도 빙그레 16일 코스피 시장에서 SK하이닉스가 전 거래일 대비 4000원 3.56 오른 11만6500원에 마감했다.']",가스,생산,주가,우려
SBS Biz,https://biz.sbs.co.kr/,https://mimgnews.pstatic.net/image/upload/office_logo/374/2020/12/29/logo_374_38_20201229153142.jpg,8:51 AM 2022/03/16,"[또, 오해경] 인텔, 10년간 유럽에 110조원 투자…반도체 공장 설립",경제,동영상 뉴스 오늘의 해외 경제 소식을 전달해 드리는 또 오해경입니다 마이크로소프트 블록체인 스타트업 콘센시스,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=374&aid=0000278701,인텔,IDM,0,704,0,none,"['인텔은 기자회견을 통해 유럽 반도체 투자에 대한 자세한 계획을 밝혔는데요 향후 10년간 유럽에 반도체 생산과 연구 개발을 위해 800억 유로 우리 돈으로 약 110조원을 쏟을 방침입니다.', '마이크로소프트가 가상자산 기술 분야에 투자한 것은 이례적인 일인데요 CNBC는 블록체인 기술 기반의 탈중앙화 인터넷인 웹3 에 관심을 보이는 기업들이 많다고 분석했는데요 콘센시스는 투자자들에게 웹3를 발전시킬 회사 중 하나로 여겨집니다.', '손정의 일본 소프트뱅크 회장은 지난달 기자회견을 통해 내년 3월 끝나는 회계연도까지 ARM의 기업공개를 추진할 계획 이라며 ARM의 고객 다수가 미국 실리콘밸리에 있기 때문에 나스닥에 상장할 가능성이 가장 큰 상태 라고 설명했습니다.']",투자,가격,계획,소프트
한국경제,http://www.hankyung.com/,https://mimgnews.pstatic.net/image/upload/office_logo/015/2017/12/27/logo_015_38_20171227161527.png,9:18 AM 2022/03/16,"코스피, 인플레 우려 완화에 반등…외국인 매도세는 이어져",경제,사진 게티이미지뱅크 국제유가가 배럴당 100달러 아래로 내려가는 등 인플레이션 물가 상승 우려가 완화된 영향,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=015&aid=0004674447,마이크론,IDM,1,212,3,https://imgnews.pstatic.net/image/015/2022/03/16/0004674447_001_20220316091803445.jpg?type=w647,"['물가 우려가 완화된 영향으로 간밤 뉴욕증권거래소 NYSE 에서 다우존스30산업평균지수는 전일 대비 599.10포인트 1.82 오른 33 544.34에 스탠더드앤드푸어스 S P 500지수는 89.34포인트 2.14 상승한 4 262.45에 기술주 중심의 나스닥 지수는 367.40포인트 2.92 뛴 12 948.62에 각각 거래를 마쳤다.', '유가증권시장에서 전일까지 7거래일 연속으로 주식을 팔아온 외국인이 이날 장 초반도 569억원 어치를 팔고 있는 영향으로 보인다.', '15일 현지시간 뉴욕상업거래소에서 4월 서부텍사스산원유 WTI 는 전일 대비 6.57달러 6.4 하락한 배럴당 96.44달러에 거래를 마쳤다.']",지수,전일,상승,영향
이데일리,http://www.edaily.co.kr/,https://mimgnews.pstatic.net/image/upload/office_logo/018/2017/12/27/logo_018_38_20171227161627.png,12:44 PM 2022/03/16,"경계현, 엑시노스 부진 지적에 ""회사 전략 구체적 답변 못해""",경제,경 사장 삼성전자 주총서 사내이사 선임 GOS 논란 이어 파운드리 수율 문제 지적 퀄컴과 중장기적 협업 진행,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=018&aid=0005168026,퀄컴,Fabless,0,636,3,none,"['경 사장 삼성전자 주총서 사내이사 선임 GOS 논란 이어 파운드리 수율 문제 지적 퀄컴과 중장기적 협업 진행 중 초격차로 메모리 우위 지켜나가고 있어 수원컨벤션센터에서 개최된 삼성전자 제53기 정기 주주총회 에서 DS부문장 경계현 사장이 경영현황에 대해 설명하고 주주들의 질문에 답변했다.', '사진 삼성전자 이데일리 최영지 기자 16일 열린 삼성전자 주주총회에서 사내이사로 선임된 경계현 DS부문장 사장 이 갤럭시 S22 게임최적화서비스 GOS 사태의 원인으로 지목된 엑시노스 부진에 대해 구체적인 답변을 피했다.', '한 주주는 경 사장에게 GOS 사태의 기반에는 엑시노스 부진이 원인이 있다고 생각한다 며 엑시노스의 투자가 부족한 것 같다는 의견을 밝혔다.']",사장,주주,이사,선임
